Subject,CVLT,FR1
1,0.45,0.19166666666666665
2,0.65,0.39
6,0.6375,0.31333333333333335
10,0.6,0.18833333333333332
15,0.5625,0.0
18,0.5625,0.22333333333333333
20,0.6375,0.38
22,0.6125,0.26666666666666666
26,0.575,0.22666666666666668
27,0.7375,0.20833333333333334
30,0.475,0.30333333333333334
32,0.65,0.31666666666666665
33,0.7625,0.21296296296296294
34,0.5875,0.09011363636363635
49,0.625,0.08333333333333334
51,0.775,0.3955555555555555
54,0.675,0.41833333333333333
59,0.625,0.07444444444444445
62,0.575,0.13527777777777777
66,0.65,0.3275094696969697
67,0.55,0.16674603174603173
68,0.7375,0.518262987012987
76,0.7,0.2566666666666667
81,0.875,0.3125
83,0.7625,0.22317890442890445
92,0.375,0.225
93,0.65,0.25503367003367
100,0.5875,0.013888888888888888
108,0.7,0.225625
124,0.7125,0.35000000000000003
145,0.8625,0.2808333333333333
147,0.8,0.15416666666666667
148,0.6625,0.24666666666666667
150,0.4125,0.15999999999999998
154,0.6375,0.3011111111111111
156,0.625,0.2125
158,0.525,0.2792094615624027
159,0.575,0.23809523809523808
169,0.6375,0.21299603174603174
170,0.6875,0.11527777777777777
174,0.5375,0.2947222222222222
178,0.5,0.13354166666666667
187,0.625,0.12181372549019606
191,0.2875,0.19606027596223674
201,0.4375,0.22999999999999998
204,0.5375,0.3894444444444445
207,0.425,0.19499999999999998
221,0.3,0.3
226,0.4,0.255
230,0.4375,0.2086666666666667
232,0.9,0.47
234,0.6,0.255
236,0.6375,0.25833333333333336
241,0.3125,0.08666666666666666
243,0.525,0.19833333333333333
247,0.55,0.3066666666666667
250,0.675,0.45666666666666667
260,0.7,0.25396825396825395
264,0.5,0.16666666666666663
268,0.7,0.4358974358974359
275,0.35,0.14150641025641025
286,0.85,0.24666666666666667
290,0.725,0.37989203778677466
291,0.7625,0.35666666666666663
317,0.725,0.22115384615384615
320,0.4875,0.08630952380952381
330,0.7125,0.2916666666666667
332,0.625,0.37980769230769235
334,0.6625,0.23290598290598288
336,0.475,0.17215219421101774
339,0.725,0.1620907738095238
341,0.45,0.2644230769230769
345,0.5125,0.18091168091168092
347,0.425,0.2222222222222222
350,0.5125,0.3049879807692308
368,0.55,0.1378205128205128
373,0.7,0.16666666666666666
374,0.475,0.1400134952766532
378,0.625,0.2916666666666667
381,0.675,0.23076923076923078
384,0.7125,0.21581196581196582
391,0.525,0.3034188034188034
397,0.525,0.3205128205128205
398,0.675,0.23076923076923078
401,0.575,0.19871794871794873
409,0.8125,0.17628205128205127
413,0.5875,0.2756410256410256
415,0.5625,0.1474358974358974
416,0.4375,0.15384615384615383
422,0.65,0.2673611111111111
425,0.8625,0.4038461538461538
443,0.6375,0.16025641025641024
446,0.75,0.10897435897435896
448,0.5875,0.20512820512820512
571,0.65,0.18
